,2024,2023,2022,2021,2020,% Change 2024 - 2023,% Change 2024 - 2022,% Change 2024 - 2021,% Change 2024 - 2020
MURDER,4,6,11,14,11,-33%,-64%,-71%,-64%
CRIM SEXUAL ASSLT,62,72,83,82,84,-14%,-25%,-24%,-26%
ROBBERY,370,265,223,229,215,40%,66%,62%,72%
AGG BATTERY,148,123,124,103,159,20%,19%,44%,-7%
BURGLARY,292,351,284,252,262,-17%,3%,16%,11%
THEFT,903,926,630,445,559,-2%,43%,103%,62%
MTR VEHICLE THEFT,859,1001,424,340,305,-14%,103%,153%,182%
TOTAL,2638,2744,1779,1465,1595,-4%,48%,80%,65%
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,--,,,,,,
,,,,,,,,,
,,5,,,,,,,